expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV_VEN,MIO_EUR,CZ	4 	6 	1 	1 	8 	12 	1 	4 	2 
INV_VEN,MIO_EUR,DE	757 	613 	659 	591 	770 	751 	704 	1005 	864 
INV_VEN,MIO_EUR,DK	290 	196 	198 	177 	165 	142 	118 	178 	214 
INV_VEN,MIO_EUR,EL	0 	0 	1 	0 	9 	5 	13 	5 	1 
INV_VEN,MIO_EUR,ES	105 	83 	85 	90 	125 	105 	136 	496 	365 
INV_VEN,MIO_EUR,EU15	3520 	3237 	3071 	3040 	3487 	3484 	3677 	5784 	5488 
INV_VEN,MIO_EUR,FI	98 	100 	100 	80 	77 	99 	87 	115 	131 
INV_VEN,MIO_EUR,FR	744 	751 	784 	675 	725 	847 	929 	1138 	957 
INV_VEN,MIO_EUR,HU	24 	30 	17 	67 	30 	18 	1 	11 	6 
INV_VEN,MIO_EUR,IE	89 	64 	87 	75 	41 	28 	45 	46 	66 
INV_VEN,MIO_EUR,IT	33 	32 	43 	67 	50 	63 	65 	61 	117 
INV_VEN,MIO_EUR,LU	41 	35 	42 	51 	110 	44 	49 	71 	39 
INV_VEN,MIO_EUR,NL	220 	192 	158 	168 	186 	166 	175 	242 	307 
INV_VEN,MIO_EUR,NO	92 	97 	81 	130 	122 	162 	134 	183 	286 
INV_VEN,MIO_EUR,PL	29 	25 	22 	8 	25 	8 	2 	58 	20 
INV_VEN,MIO_EUR,PT	70 	45 	29 	17 	13 	65 	42 	92 	137 
INV_VEN,MIO_EUR,RO	1 	2 	4 	0 	0 	0 	1 	7 	1 
INV_VEN,MIO_EUR,SE	150 	198 	224 	217 	235 	246 	218 	348 	422 
INV_VEN,MIO_EUR,UK	833 	775 	533 	678 	840 	802 	875 	1770 	1641 
INV_VEN,NR_COMP,AT	92 	88 	87 	87 	68 	57 	58 	55 	52 
INV_VEN,NR_COMP,BE	51 	122 	96 	110 	91 	77 	151 	143 	126 
INV_VEN,NR_COMP,BG	1 	3 	2 	2 	2 	4 	3 	8 	0 
INV_VEN,NR_COMP,CH	111 	87 	113 	93 	124 	138 	128 	145 	115 
INV_VEN,NR_COMP,CZ	11 	8 	3 	1 	6 	1 	2 	2 	4 
INV_VEN,NR_COMP,DE	866 	874 	826 	845 	975 	1042 	1011 	1137 	961 
INV_VEN,NR_COMP,DK	105 	100 	97 	106 	111 	110 	93 	109 	114 
INV_VEN,NR_COMP,EL	0 	1 	1 	0 	4 	2 	5 	3 	2 
INV_VEN,NR_COMP,ES	89 	86 	96 	97 	123 	86 	120 	169 	132 
INV_VEN,NR_COMP,EU15	2834 	3231 	3064 	3008 	3063 	3147 	3315 	3762 	3410 
INV_VEN,NR_COMP,FI	175 	205 	164 	138 	130 	156 	172 	198 	197 
INV_VEN,NR_COMP,FR	379 	464 	469 	397 	464 	488 	522 	505 	372 
INV_VEN,NR_COMP,HU	56 	65 	35 	42 	30 	11 	2 	10 	12 
INV_VEN,NR_COMP,IE	61 	72 	102 	82 	75 	55 	62 	72 	62 
INV_VEN,NR_COMP,IT	41 	58 	61 	77 	47 	54 	32 	27 	25 
INV_VEN,NR_COMP,LU	34 	29 	32 	38 	33 	26 	28 	31 	22 
INV_VEN,NR_COMP,NL	231 	249 	213 	190 	191 	190 	209 	171 	251 
INV_VEN,NR_COMP,NO	72 	74 	110 	109 	124 	130 	128 	139 	183 
INV_VEN,NR_COMP,PL	64 	47 	62 	29 	26 	12 	7 	43 	23 
INV_VEN,NR_COMP,PT	112 	98 	83 	58 	33 	44 	66 	122 	58 
INV_VEN,NR_COMP,RO	2 	4 	1 	0 	0 	0 	1 	2 	1 
